EVENT_ID,MUID,PUID1,CUID1,PUID2,CUID2,NOMATCH,GDCP_EVENT_TIME,TRACKING_TIME,X_EVENT,Y_EVENT,X_TRACKING,Y_TRACKING,SUBTYPE,FRAME_NUMBER,GDCP_EVENT_ID,NORECEIVER,XRec,YRec,RECFRM,EVALUATION,Goingright,PRESSURE,PRESSER,PRESSURE_RECEIVER,PRESSER_REC,Bypassed_Players,Bypassed_Defenders,xG,PENALTY,AssistTyp,DISTANCE,ANGLE,FREEKICK,FOOT,SPEED,PRESSURE_ON_SHOT,DEFENDERS,DISTANCE_GOALKEEPER,GK_INGOAL,Rotation,xPass,PossSpeed,PossAng,Dis_nearest_opp_rec,Dist_of_pass,Nearest_Defender_to_passing_lane,Angle_of_pass,OneTouch,Time_of_Possesion,BlockProb,Opp_Players_in_path,MIN_AVG_SPEED,MIN_VAR_SPEED,MIN_AVG_OWN_EVENT_SPEED,MIN_AVG_GOAL_DIST,MIN_VAR_GOAL_DIST,MIN_START_GOAL_DIST,MIN_BYPASSED_PLAYERS,MIN_BYPASSED_DEFENDERS,MIN_OWN_NONRECEIVED,MIN_ENEMY_NONRECEIVED,MIN_OWN_PRESSURE,MIN_ENEMY_PRESSURE,HFMIN_AVG_SPEED,HFMIN_VAR_SPEED,HFMIN_AVG_OWN_EVENT_SPEED,HFMIN_AVG_GOAL_DIST,HFMIN_VAR_GOAL_DIST,HFMIN_START_GOAL_DIST,HFMIN_BYPASSED_PLAYERS,HFMIN_BYPASSED_DEFENDERS,HFMIN_OWN_NONRECEIVED,HFMIN_ENEMY_NONRECEIVED,HFMIN_OWN_PRESSURE,HFMIN_ENEMY_PRESSURE,SEC_AVG_SPEED,SEC_VAR_SPEED,SEC_AVG_OWN_EVENT_SPEED,SEC_AVG_GOAL_DIST,SEC_VAR_GOAL_DIST,SEC_START_GOAL_DIST,SEC_BYPASSED_PLAYERS,SEC_BYPASSED_DEFENDERS,SEC_OWN_NONRECEIVED,SEC_ENEMY_NONRECEIVED,SEC_OWN_PRESSURE,SEC_ENEMY_PRESSURE,X_NEW,Y_NEW,GOALLINE_DISTANCE,GOAL_DISTANCE,Y_SIDE,X_DELTA,Y_CHANGE,GOAL_DIST_DELTA,Y_DELTA,XY_DELTA,TIME_DELTA,EVENT_SPEED,ReceiveInt
1.82065E+13,101,810,18,799,18,0,31:14.1,31:14.1,0,0,-0.1,0,Pass,10001,1.82065E+13,FALSE,16.28,1.72,10052,successfullyComplete,FALSE,0,,0.041,268,0,0,,,,,,,,,,,,,,0.999,0.62,17.86,20.39,19.86,7.65,169.76,0,0,0,1,0,0,0,50.1,0,50.1,0,0,0,0,0,0,0,0,0,50.1,0,50.1,0,0,0,0,0,0,0,0,0,50.1,0,50.1,0,0,0,0,0,0,49.9,0,50.1,50.1,1,,1,,,,0,,0
1.82065E+13,101,799,18,807,18,0,31:17.0,31:17.1,14.6,3.3,16.2,2.8,Pass,10076,1.82065E+13,FALSE,2.83,28.78,10124,successfullyComplete,FALSE,0.245,268,0.038,249,1,0,,,,,,,,,,,,,,0.993,0.93,25,16.75,28.62,4.74,66.61,0,9.12,0,2,1.5,4.5,1.5,42.008,130.965,50.1,1,0,0,0,0.122,0,1.5,4.5,1.5,42.008,130.965,50.1,1,0,0,0,0.122,0,1.5,4.5,1.5,42.008,130.965,50.1,1,0,0,0,0.122,0,66.2,2.8,33.8,33.916,1,16.3,0,-16.184,2.8,16.539,3,5.513,0
1.82065E+13,101,807,18,244,6,0,31:21.6,31:20.0,-46.8,33,2.7,29.4,Pass,10148,1.82065E+13,TRUE,,,,unsuccessful,FALSE,0.677,249,0,,0,0,,,,,,,,,,,,,,0.344,0.93,21.43,4.06,15.24,0.22,4.52,0,5.44,0,2,1.96,2.885,1.96,46.569,127.905,50.1,1,0,1,0,0.307,0,1.96,2.885,1.96,46.569,127.905,50.1,1,0,1,0,0.307,0,1.96,2.885,1.96,46.569,127.905,50.1,1,0,1,0,0.307,0,52.7,29.4,47.3,55.692,1,13.5,0,21.777,26.6,29.83,2.88,10.358,1
1.82065E+13,101,244,6,,,0,31:24.1,31:30.6,-45.1,32.3,46.5,33,OtherBallAction,10413,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4.12,20.586,10.6,33.185,0,33.185,0,0,0,1,0,0.307,4.12,20.586,10.6,33.185,0,33.185,0,0,0,1,0,0.307,10.6,0,10.6,33.185,0,33.185,0,0,0,0,0,0,96.5,33,3.5,33.185,1,49.2,0,-11.122,3.6,49.332,10.6,4.654,0
1.82065E+13,101,244,6,814,18,0,31:24.7,31:26.1,-41.9,30.7,46.7,33.1,Ground,10299,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.384,30.508,3.02,33.225,0.003,33.185,0,0,0,1,0,0.307,2.384,30.508,3.02,33.225,0.003,33.185,0,0,0,1,0,0.307,2.98,38.309,3.02,33.225,0.003,33.185,0,0,0,1,0,0.461,96.7,33.1,3.3,33.264,1,0.2,0,0.079,0.1,0.224,-4.56,-0.049,0
1.82065E+13,101,807,18,811,18,0,31:33.3,31:32.1,-42.2,34,-42.6,34.6,Pass,10450,1.82065E+13,FALSE,-35.82,31.5,10466,successfullyComplete,FALSE,0.5,271,0,,0,0,,,,,,,,,,,,,,0,1.24,50,7.87,7.25,3.22,148.41,0,0,0,3,2.993,26.634,2.98,59.64,768.664,50.1,1,0,1,0,0.356,0,2.993,26.634,2.98,59.64,768.664,50.1,1,0,1,0,0.356,0,4.027,60.497,6.04,98.853,0,98.853,0,0,0,0,0.5,0,7.4,34.6,92.6,98.853,1,4.1,0,32.117,1.5,4.366,6.04,0.723,0
1.82065E+13,101,811,18,271,6,0,31:34.6,31:34.0,-33.8,31.5,-34.5,31.4,Cross,10496,1.82065E+13,TRUE,,,,unsuccessful,FALSE,0.827,271,0,,0,0,,,,,,,,,,,,,towardsGoal,,,,,,,,,,,,2.83,22.382,2.754,65.741,762.611,50.1,1,0,2,0,0.45,0,2.83,22.382,2.754,65.741,762.611,50.1,1,0,2,0,0.45,0,3.482,41.515,3.945,94.499,37.911,98.853,0,0,1,0,0.664,0,15.5,31.4,84.5,90.145,1,8.1,0,-8.708,3.2,8.709,1.85,4.708,1
1.82065E+13,101,812,18,252,6,0,31:35.5,31:36.4,-25,-1.5,-25.4,-2,Air,10557,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.781,19.203,2.702,67.356,625.723,50.1,1,0,2,0,0.375,0,2.781,19.203,2.702,67.356,625.723,50.1,1,0,2,0,0.375,0,5.233,16.234,3.443,88.142,140.212,98.853,0,0,1,0,0.442,0,24.6,2,75.4,75.427,0,9.1,1,-14.719,33.4,34.617,2.44,14.187,0
1.82065E+13,101,812,18,,,0,31:37.8,31:36.4,-25.1,-9.7,-25.4,-2.1,OtherBallAction,10558,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.477,17.638,2.321,68.509,530.748,50.1,1,0,2,0,0.321,0,2.477,17.638,2.321,68.509,530.748,50.1,1,0,2,0,0.321,0,4.194,17.568,2.592,84.964,133.876,98.853,0,0,1,0,0.332,0,24.6,2.1,75.4,75.429,0,0,0,0.003,0.1,0.1,0.04,2.5,0
1.82065E+13,101,240,6,268,6,0,31:49.2,31:49.4,-44.3,-7.8,44.4,-6.1,Pass,10882,1.82065E+13,FALSE,-1.41,3.34,10941,successfullyComplete,TRUE,0,,0.374,799,6,1,,,,,,,,,,,,,,0.201,0.31,7.14,3.2,47.45,1.43,10.45,1,0,0,4,3.525,26.668,6.333,24.91,207.401,33.185,6,1,0,2,0,0.321,4.031,32.18,6.333,24.91,207.401,33.185,6,1,0,2,0,0.401,12.96,0,12.96,8.281,0,8.281,6,1,0,0,0,0,94.4,6.1,5.6,8.281,0,19,0,-16.29,4,19.416,12.96,1.498,0
